2023-01-30T20:55:39.106845Z ERROR   - _QueryMessage (1155) - The camera responded with the following error message(s):
2023-01-30T20:55:39.106853Z ERROR   - _QueryMessage (1159) -    Com ID error
2023-01-30T20:55:39.107932Z WARNING - _SendOperationalCommand (693) - An error occurred while trying to send the operiational command, attempt 0
2023-01-30T20:55:39.630652Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:39.670981Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:39.711256Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:39.751976Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:39.791781Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:39.832147Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:39.872482Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:39.912887Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:39.953123Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:39.993398Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.033817Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.074109Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.114353Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.154818Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.195169Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.235361Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.275696Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.315978Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.356318Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.396525Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.436842Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.477144Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.517472Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.557757Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.598068Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.638388Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.678724Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.719006Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.759704Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.799556Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.839896Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.880097Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.920748Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:40.960860Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.001134Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.041453Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.081791Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.122032Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.162296Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.202646Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.242886Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.283282Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.323548Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.363855Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.404190Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.444487Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.484887Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.525562Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.565465Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.605963Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.646081Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.686284Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.726650Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.766927Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.807227Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.847585Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.887702Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.928149Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:41.968455Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.008801Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.049097Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.089808Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.129654Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.169961Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.210269Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.250819Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.290773Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.331100Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.371385Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.411819Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.452043Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.492168Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.532618Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.572881Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.613089Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.653507Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.693810Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.734118Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.774416Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.814799Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.855118Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.895411Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.935666Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:42.975983Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.016223Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.056601Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.096836Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.137161Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.177479Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.217801Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.258106Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.298425Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.338725Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.379021Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.419844Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.459645Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.499837Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.540221Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.580844Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.620846Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.661177Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.701384Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.741849Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.782031Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.822335Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.862661Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.902960Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.943257Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.983583Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
